name,zipcode,excel name
Adams,2922,Adams
Bacarra,2916,Bacarra
Badoc,2904,Badoc
Bangui,2920,Bangui
City of Batac,2906,City_of_Batac
Burgos,2918,Burgos
Carasi,2911,Carasi
Currimao,2903,Currimao
Dingras,2913,Dingras
Dumalneg,2921,Dumalneg
Banna (Espiritu),2908,Banna
City of Laoag  (Capital),2900,City_of_Laoag
Marcos,2907,Marcos
Nueva Era,2909,Nueva_Era
Pagudpud,2919,Pagudpud
Paoay,2902,Paoay
Pasuquin,2917,Pasuquin
Piddig,2912,Piddig
Pinili,2905,Pinili
San Nicolas,2901,San_Nicolas
Sarrat,2914,Sarrat
Solsona,2910,Solsona
Vintar,2915,Vintar
